test_id,run_id,file_name,path,file_size_mb,note,quality,has_measurement,has_pwm,has_transient,has_steady,pwm_count,transient_count,steady_count,t_start_epoch,t_end_epoch,time_monotonic_within_run,has_required_fields
8,6,Test_8_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_6.mat,151.059,ok,keep,1,1,1,1,7986,18899,32831,734199.633339039,734199.787559039,1,1
8,7,Test_8_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_7.mat,148.971,ok,keep,1,1,1,1,18351,18712,28199,734200.713238692,734200.849639306,1,1
9,1,Test_9_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_1.mat,22.148,ok,keep,1,1,1,1,1345,2728,5184,734208.681908183,734208.706206551,1,1
9,2,Test_9_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_2.mat,22.295,ok,keep,1,1,1,1,1468,2737,5176,734209.250098877,734209.274395509,1,1
9,3,Test_9_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_3.mat,21.108,ok,keep,1,1,1,1,1434,2583,5177,734209.305985,734209.330282963,1,1
9,4,Test_9_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_4.mat,19.851,ok,keep,1,1,1,1,1478,2418,5176,734209.436684178,734209.460984757,1,1
9,5,Test_9_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_5.mat,95.847,ok,keep,1,1,1,1,6506,11911,26600,734209.500440428,734209.625431898,1,1
9,6,Test_9_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_6.mat,128.712,ok,keep,1,1,1,1,8612,16977,35422,734209.733901296,734209.90056066,1,1
9,7,Test_9_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_7.mat,140.442,ok,keep,1,1,1,1,8817,17726,35397,734210.710802454,734210.877462454,1,1
10,1,Test_10_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_1.mat,20.974,ok,keep,1,1,1,1,1062,2729,5488,734213.557807662,734213.583432396,1,1
10,2,Test_10_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_2.mat,20.39,ok,keep,1,1,1,1,1193,2667,4875,734213.585730243,734213.608541435,1,1
10,3,Test_10_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_3.mat,19.205,ok,keep,1,1,1,1,1141,2495,4945,734213.613192014,734213.636317083,1,1
10,4,Test_10_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_4.mat,18.791,ok,keep,1,1,1,1,1194,2437,5016,734213.642451817,734213.665921296,1,1
10,5,Test_10_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_5.mat,103.27,ok,keep,1,1,1,1,6257,13658,27406,734213.672871482,734213.801335255,1,1
10,6,Test_10_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_6.mat,142.358,ok,keep,1,1,1,1,8076,18936,36151,734214.310437743,734214.480114201,1,1
10,7,Test_10_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_7.mat,134.577,ok,keep,1,1,1,1,7399,19074,34667,734215.450009016,734215.61259838,1,1
11,1,Test_11_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_1.mat,24.012,ok,keep,1,1,1,1,1336,2970,5183,734220.706146481,734220.730442917,1,1
11,2,Test_11_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_2.mat,22.472,ok,keep,1,1,1,1,1300,2764,5183,734221.397058345,734221.421356701,1,1
11,3,Test_11_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_3.mat,21.211,ok,keep,1,1,1,1,1305,2609,5185,734221.442272431,734221.466568646,1,1
11,4,Test_11_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_4.mat,18.715,ok,keep,1,1,1,1,1286,2413,5188,734221.482694167,734221.506993264,1,1
11,5,Test_11_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_5.mat,103.987,ok,keep,1,1,1,1,6587,12717,26681,734222.439118171,734222.564111586,1,1
11,6,Test_11_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_6.mat,144.254,ok,keep,1,1,1,1,8719,17780,35527,734222.576186921,734222.742843495,1,1
11,7,Test_11_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_7.mat,145.997,ok,keep,1,1,1,1,8571,18194,35520,734223.299017685,734223.465677303,1,1
12,1,Test_12_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_1.mat,23.867,ok,keep,1,1,1,1,1176,2944,5198,734241.713974167,734241.738271458,1,1
12,2,Test_12_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_2.mat,23.115,ok,keep,1,1,1,1,1237,2836,5196,734242.342038102,734242.366337072,1,1
12,3,Test_12_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_3.mat,21.635,ok,keep,1,1,1,1,1202,2645,5197,734242.378051898,734242.40234963,1,1
12,4,Test_12_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_4.mat,20.214,ok,keep,1,1,1,1,1239,2472,5196,734242.535434514,734242.559732616,1,1
12,5,Test_12_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_5.mat,103.765,ok,keep,1,1,1,1,6313,12749,26659,734242.567869931,734242.692861319,1,1
12,6,Test_12_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_6.mat,142.737,ok,keep,1,1,1,1,8731,17625,35487,734243.410249722,734243.57690897,1,1
12,7,Test_12_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_7.mat,148.341,ok,keep,1,1,1,1,5453,19078,31957,734243.617695359,734243.766975359,1,1
13,1,Test_13_run_1 1 (error setting up this run).mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_1 1 (error setting up this run).mat,0.558,setup_error_file,exclude,0,0,0,0,0,0,0,NaN,NaN,0,0
13,1,Test_13_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_1.mat,24.106,ok,keep,1,1,1,1,1223,3058,5324,734248.457495926,734248.482414919,1,1
13,2,Test_13_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_2.mat,21.194,ok,keep,1,1,1,1,1152,2797,5081,734248.495054317,734248.518833773,1,1
13,3,Test_13_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_3.mat,20.448,ok,keep,1,1,1,1,1122,2700,5003,734248.526657778,734248.55007088,1,1
13,4,Test_13_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_4.mat,18.953,ok,keep,1,1,1,1,686,2673,4203,734248.558994595,734248.5786061,1,1
13,5,Test_13_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_5.mat,2.255,ok,keep,1,1,1,1,73,339,643,734248.600745046,734248.603736285,1,1
14,1,Test_14_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_1.mat,23.009,ok,keep,1,1,1,1,1279,3006,5091,734248.610020336,734248.633886019,1,1
14,2,Test_14_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_2.mat,21.824,ok,keep,1,1,1,1,1397,2811,5044,734248.641554583,734248.665231597,1,1
14,3,Test_14_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_3.mat,21.591,ok,keep,1,1,1,1,1353,2661,5184,734248.707674618,734248.731971863,1,1
14,4,Test_14_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_4.mat,20.487,ok,keep,1,1,1,1,1402,2520,5183,734249.373068276,734249.397364155,1,1
14,5,Test_14_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_5.mat,108.66,ok,keep,1,1,1,1,6939,13600,26584,734249.406059329,734249.531051551,1,1
14,6,Test_14_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_6.mat,148.141,ok,keep,1,1,1,1,8751,18648,34306,734249.671746875,734249.833294329,1,1
14,7,Test_14_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_7.mat,51.211,ok,keep,1,1,1,1,1884,7071,10591,734250.33499809,734250.384471343,1,1
15,1,Test_15_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_15_run_1.mat,34.312,ok,keep,1,1,1,1,737,4601,5213,734270.655603229,734270.679899363,1,1
16,1,Test_16_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_16_run_1.mat,28.94,ok,keep,1,1,1,1,1484,3721,5181,734271.444585868,734271.46888463,1,1
17,1,Test_17_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_17_run_1.mat,28.205,ok,keep,1,1,1,1,1477,3624,5182,734271.502111053,734271.526407384,1,1
18,1,Test_18_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_18_run_1.mat,33.982,ok,keep,1,1,1,1,425,4665,5232,734271.927050359,734271.951350382,1,1
18,2,Test_18_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_18_run_2.mat,26.524,ok,keep,1,1,1,1,1007,4067,5203,734271.958612674,734271.982912361,1,1
19,1,Test_19_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_19_run_1.mat,166.541,ok,keep,1,1,1,1,145,20085,20411,734335.776214306,734335.870741748,1,1
19,2,Test_19_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_19_run_2.mat,1.459,ok,keep,1,1,1,1,2,250,250,734337.905949248,734337.907103414,1,1
20,1,Test_20_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_20_run_1.mat,178.266,ok,keep,1,1,1,1,1382,20162,21743,734339.402955961,734339.504179977,1,1
20,2,Test_20_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_20_run_2.mat,171.628,ok,keep,1,1,1,1,818,20092,21078,734339.692347095,734339.790207558,1,1
21,1,Test_21_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_21_run_1.mat,29.571,ok,keep,1,1,1,1,375,4108,5010,734348.602057766,734348.6253239,1,1
22,1,Test_22_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_22_run_1.mat,41.877,ok,keep,1,1,1,1,1607,5508,8927,734348.638770891,734348.68042772,1,1
23,1,Test_23_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_23_run_1.mat,144.634,ok,keep,1,1,1,1,6245,19099,31685,734348.717945926,734348.866281956,1,1
23,2,Test_23_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_23_run_2.mat,2.935,ok,keep,1,1,1,1,72,383,747,734349.345329028,734349.348796157,1,1
24,1,Test_24_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_24_run_1.mat,2.195,ok,keep,1,1,1,1,95,285,752,734349.358042118,734349.361536076,1,1
24,2,Test_24_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_24_run_2.mat,144.299,ok,keep,1,1,1,1,5553,19085,31109,734349.375405718,734349.520935706,1,1
25,1,Test_25_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_1.mat,144.035,ok,keep,1,1,1,1,7365,18953,34402,734349.566100301,734349.727444421,1,1
25,2,Test_25_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_2.mat,143.599,ok,keep,1,1,1,1,6379,18924,32442,734349.901926632,734350.053860255,1,1
25,3,Test_25_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_3.mat,140.089,ok,keep,1,1,1,1,2654,19731,24712,734350.337367072,734350.452421007,1,1
25,4,Test_25_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_4.mat,0.098,known_abnormal_file,exclude,0,0,0,0,0,0,0,NaN,NaN,0,0
26,1,Test_26_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_26_run_1.mat,159.795,ok,keep,1,1,1,1,3657,39223,46574,734352.671729282,734352.888120278,1,1
27,1,Test_27_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_1.mat,7.568,ok,keep,1,1,1,1,557,1666,2978,734354.479449028,734354.493329352,1,1
27,2,Test_27_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_2.mat,7.555,ok,keep,1,1,1,1,571,1663,2978,734354.551124167,734354.565006018,1,1
27,3,Test_27_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_3.mat,7.435,ok,keep,1,1,1,1,555,1636,2979,734354.579451018,734354.593332014,1,1
27,4,Test_27_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_4.mat,20.084,ok,keep,1,1,1,1,1620,5459,8932,734355.469731285,734355.511387326,1,1
27,5,Test_27_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_5.mat,21.647,ok,keep,1,1,1,1,1619,5495,8930,734355.542658762,734355.584316863,1,1
28,1,Test_28_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_28_run_1.mat,17.026,ok,keep,1,1,1,1,619,3985,5362,734354.854201551,734354.879127755,1,1
28,2,Test_28_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_28_run_2.mat,19.171,ok,keep,1,1,1,1,554,4565,5979,734354.890155556,734354.917924687,1,1
29,1,Test_29_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_29_run_1.mat,158.149,ok,keep,1,1,1,1,4070,39106,48269,734354.925449815,734355.149796759,1,1
30,1,Test_30_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_30_run_1.mat,172.528,ok,keep,1,1,1,1,10636,37925,65233,734358.849283542,734359.154790486,1,1
31,1,Test_31_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_31_run_1.mat,128.554,ok,keep,1,1,1,1,13754,33980,71045,734359.301770046,734359.63509838,1,1
32,1,Test_32_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_32_run_1.mat,159.132,ok,keep,1,1,1,1,2927,39316,45236,734359.700686736,734359.910702118,1,1
33,1,Test_33_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_33_run_1.mat,141.395,ok,keep,1,1,1,1,9704,38356,57909,734360.504572303,734360.776008183,1,1
34,1,Test_34_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_1.mat,158.94,ok,keep,1,1,1,1,18145,36274,70658,734360.910652419,734361.243979016,1,1
34,2,Test_34_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_2.mat,160.256,ok,keep,1,1,1,1,18357,36694,70843,734361.691048542,734362.024373623,1,1
34,3,Test_34_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_3.mat,166.363,ok,keep,1,1,1,1,17062,37509,65915,734362.513198079,734362.823788588,1,1
35,1,Test_35_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_35_run_1.mat,159.649,ok,keep,1,1,1,1,5121,39129,46933,734369.630377373,734369.848764537,1,1
36,1,Test_36_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_36_run_1.mat,159.89,ok,keep,1,1,1,1,10719,38529,53560,734370.765487164,734371.016152813,1,1
37,1,Test_37_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_37_run_1.mat,165.797,ok,keep,1,1,1,1,22941,37674,58183,734371.867477639,734372.144302558,1,1
38,1,Test_38_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_38_run_1.mat,151.27,ok,keep,1,1,1,1,2860,39358,43915,734373.7086064,734373.912472975,1,1
39,1,Test_39_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_39_run_1.mat,17.502,ok,keep,1,1,1,1,1226,4857,7661,734374.556794769,734374.592466678,1,1
40,1,Test_40_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_40_run_1.mat,4.473,ok,keep,1,1,1,1,38,1940,1940,734374.884139595,734374.893118507,1,1
40,2,Test_40_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_40_run_2.mat,11.529,ok,keep,1,1,1,1,200,4260,4485,734374.909761736,734374.930571863,1,1
41,1,Test_41_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_41_run_1.mat,164.341,ok,keep,1,1,1,1,15791,37699,64122,734374.936063461,734375.238316979,1,1
42,1,Test_42_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_42_run_1.mat,58.255,ok,keep,1,1,1,1,596,9702,10388,734387.654940694,734387.703081736,1,1
