"test_id","run_id","file_name","file_size_mb","note","path"
"9","1","Test_9_run_1.mat","22.148","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_1.mat"
"9","2","Test_9_run_2.mat","22.295","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_2.mat"
"9","3","Test_9_run_3.mat","21.108","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_3.mat"
"9","4","Test_9_run_4.mat","19.851","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_4.mat"
"9","5","Test_9_run_5.mat","95.847","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_5.mat"
"9","6","Test_9_run_6.mat","128.712","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_6.mat"
"9","7","Test_9_run_7.mat","140.442","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_7.mat"
"10","1","Test_10_run_1.mat","20.974","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_1.mat"
"10","2","Test_10_run_2.mat","20.39","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_2.mat"
"10","3","Test_10_run_3.mat","19.205","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_3.mat"
"10","4","Test_10_run_4.mat","18.791","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_4.mat"
"10","5","Test_10_run_5.mat","103.27","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_5.mat"
"10","6","Test_10_run_6.mat","142.358","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_6.mat"
"10","7","Test_10_run_7.mat","134.577","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_10_run_7.mat"
"11","1","Test_11_run_1.mat","24.012","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_1.mat"
"11","2","Test_11_run_2.mat","22.472","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_2.mat"
"11","3","Test_11_run_3.mat","21.211","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_3.mat"
"11","4","Test_11_run_4.mat","18.715","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_4.mat"
"11","5","Test_11_run_5.mat","103.987","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_5.mat"
"11","6","Test_11_run_6.mat","144.254","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_6.mat"
"11","7","Test_11_run_7.mat","145.997","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_11_run_7.mat"
"12","1","Test_12_run_1.mat","23.867","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_1.mat"
"12","2","Test_12_run_2.mat","23.115","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_2.mat"
"12","3","Test_12_run_3.mat","21.635","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_3.mat"
"12","4","Test_12_run_4.mat","20.214","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_4.mat"
"12","5","Test_12_run_5.mat","103.765","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_5.mat"
"12","6","Test_12_run_6.mat","142.737","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_6.mat"
"12","7","Test_12_run_7.mat","148.341","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_12_run_7.mat"
"13","1","Test_13_run_1 1 (error setting up this run).mat","0.558","setup_error_file;very_small_check","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_1 1 (error setting up this run).mat"
"13","1","Test_13_run_1.mat","24.106","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_1.mat"
"13","2","Test_13_run_2.mat","21.194","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_2.mat"
"13","3","Test_13_run_3.mat","20.448","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_3.mat"
"13","4","Test_13_run_4.mat","18.953","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_4.mat"
"13","5","Test_13_run_5.mat","2.255","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_13_run_5.mat"
"14","1","Test_14_run_1.mat","23.009","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_1.mat"
"14","2","Test_14_run_2.mat","21.824","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_2.mat"
"14","3","Test_14_run_3.mat","21.591","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_3.mat"
"14","4","Test_14_run_4.mat","20.487","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_4.mat"
"14","5","Test_14_run_5.mat","108.66","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_5.mat"
"14","6","Test_14_run_6.mat","148.141","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_6.mat"
"14","7","Test_14_run_7.mat","51.211","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_14_run_7.mat"
"15","1","Test_15_run_1.mat","34.312","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_15_run_1.mat"
"16","1","Test_16_run_1.mat","28.94","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_16_run_1.mat"
"17","1","Test_17_run_1.mat","28.205","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_17_run_1.mat"
"18","1","Test_18_run_1.mat","33.982","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_18_run_1.mat"
"18","2","Test_18_run_2.mat","26.524","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_18_run_2.mat"
"19","1","Test_19_run_1.mat","166.541","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_19_run_1.mat"
"19","2","Test_19_run_2.mat","1.459","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_19_run_2.mat"
"20","1","Test_20_run_1.mat","178.266","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_20_run_1.mat"
"20","2","Test_20_run_2.mat","171.628","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_20_run_2.mat"
"21","1","Test_21_run_1.mat","29.571","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_21_run_1.mat"
"22","1","Test_22_run_1.mat","41.877","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_22_run_1.mat"
"23","1","Test_23_run_1.mat","144.634","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_23_run_1.mat"
"23","2","Test_23_run_2.mat","2.935","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_23_run_2.mat"
"24","1","Test_24_run_1.mat","2.195","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_24_run_1.mat"
"24","2","Test_24_run_2.mat","144.299","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_24_run_2.mat"
"25","1","Test_25_run_1.mat","144.035","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_1.mat"
"25","2","Test_25_run_2.mat","143.599","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_2.mat"
"25","3","Test_25_run_3.mat","140.089","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_3.mat"
"25","4","Test_25_run_4.mat","0.098","very_small_check","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_25_run_4.mat"
"26","1","Test_26_run_1.mat","159.795","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_26_run_1.mat"
"27","1","Test_27_run_1.mat","7.568","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_1.mat"
"27","2","Test_27_run_2.mat","7.555","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_2.mat"
"27","3","Test_27_run_3.mat","7.435","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_3.mat"
"27","4","Test_27_run_4.mat","20.084","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_4.mat"
"27","5","Test_27_run_5.mat","21.647","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_27_run_5.mat"
"28","1","Test_28_run_1.mat","17.026","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_28_run_1.mat"
"28","2","Test_28_run_2.mat","19.171","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_28_run_2.mat"
"29","1","Test_29_run_1.mat","158.149","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_29_run_1.mat"
"30","1","Test_30_run_1.mat","172.528","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_30_run_1.mat"
"31","1","Test_31_run_1.mat","128.554","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_31_run_1.mat"
"32","1","Test_32_run_1.mat","159.132","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_32_run_1.mat"
"33","1","Test_33_run_1.mat","141.395","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_33_run_1.mat"
"34","1","Test_34_run_1.mat","158.94","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_1.mat"
"34","2","Test_34_run_2.mat","160.256","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_2.mat"
"34","3","Test_34_run_3.mat","166.363","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_34_run_3.mat"
"35","1","Test_35_run_1.mat","159.649","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_35_run_1.mat"
"36","1","Test_36_run_1.mat","159.89","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_36_run_1.mat"
"37","1","Test_37_run_1.mat","165.797","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_37_run_1.mat"
"38","1","Test_38_run_1.mat","151.27","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_38_run_1.mat"
"39","1","Test_39_run_1.mat","17.502","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_39_run_1.mat"
"40","1","Test_40_run_1.mat","4.473","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_40_run_1.mat"
"40","2","Test_40_run_2.mat","11.529","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_40_run_2.mat"
"41","1","Test_41_run_1.mat","164.341","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_41_run_1.mat"
"42","1","Test_42_run_1.mat","58.255","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_42_run_1.mat"
