sample_index_start,sample_index_end,t_epoch_start,t_epoch_end,elapsed_hours,model,seed,test_id,window_id,split,time_hours,HI_true,HI_pred,damage_true,damage_pred,increment_true,increment_pred,rate_true,fpt_event_target,accel_state_target,warning_target,fpt_prob,accel_prob,warning_prob,gate,multiplier,extra_increment,calibrated_decision,calibrated_raw,calibrated_target
1536,1791,734192.374445278,734192.375636782,0.1718113683164119,MultiplierEventPGRGRU_seed42,42,6,13,test,0.1718113720417022,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2296602725982666,0.4064684808254242,0.0146273076534271,0.0478792786598205,1.0943546295166016,0.0,0,0,0
1664,1919,734192.375042662,734192.376236285,0.1861994387581944,MultiplierEventPGRGRU_seed42,42,6,14,test,0.1861994415521621,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2230917811393737,0.3921907842159271,0.0137758059427142,0.0439573004841804,1.0989651679992676,0.0,0,0,0
1792,2047,734192.375641435,734192.376833692,0.2005372066050768,MultiplierEventPGRGRU_seed42,42,6,15,test,0.2005372047424316,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2178670912981033,0.3909774124622345,0.0131516912952065,0.0437891371548175,1.1004142761230469,0.0,0,0,0
1920,2175,734192.376240139,734192.377432292,0.2149036070331931,MultiplierEventPGRGRU_seed42,42,6,16,test,0.2149036079645156,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.21310456097126,0.3901667892932892,0.0123835336416959,0.0436352267861366,1.102090835571289,0.0,0,0,0
2048,2303,734192.376838322,734192.378030579,0.2292624944821,MultiplierEventPGRGRU_seed42,42,6,17,test,0.229262501001358,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2092848271131515,0.389851301908493,0.0117488130927085,0.0434619113802909,1.1034183502197266,0.0,0,0,0
2176,2431,734192.377436933,734192.378630266,0.2436549821868538,MultiplierEventPGRGRU_seed42,42,6,18,test,0.2436549812555313,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2052546292543411,0.377189964056015,0.0117420833557844,0.040076732635498,1.1064159870147705,0.0,0,0,0
2304,2559,734192.378035208,734192.379231262,0.2580788880586624,MultiplierEventPGRGRU_seed42,42,6,19,test,0.2580788731575012,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2436951845884323,0.4114169180393219,0.0193533468991518,0.0444419793784618,1.0989407300949097,0.0,0,0,0
2432,2687,734192.378633646,734192.379831875,0.2724935989826917,MultiplierEventPGRGRU_seed42,42,6,20,test,0.2724936008453369,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.3607059419155121,0.4707506000995636,0.0757046565413475,0.0530938543379306,1.0691132545471191,0.0,0,0,0
2560,2815,734192.379235127,734192.380431701,0.2868894226849079,MultiplierEventPGRGRU_seed42,42,6,21,test,0.2868894338607788,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.4280457496643066,0.4729061126708984,0.1789634078741073,0.052666887640953,1.045567750930786,0.0,0,0,0
2688,2943,734192.379836493,734192.381032512,0.3013088889420032,MultiplierEventPGRGRU_seed42,42,6,22,test,0.3013089001178741,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.4804556667804718,0.4865967631340027,0.3211473822593689,0.0553629137575626,1.023769736289978,0.0,0,0,0
2816,3071,734192.380436331,734192.381633275,0.3157271984964609,MultiplierEventPGRGRU_seed42,42,6,23,test,0.3157272040843963,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5162627696990967,0.4977880120277405,0.4581314325332641,0.0571884959936142,1.006824254989624,0.0,0,0,0
2944,3199,734192.381037141,734192.382234595,0.3301588799804449,MultiplierEventPGRGRU_seed42,42,6,24,test,0.3301588892936706,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5402297973632812,0.5068586468696594,0.56536465883255,0.058367982506752,0.9942712783813475,0.0,0,0,0
3072,3327,734192.381637917,734192.382836632,0.3446077667176723,MultiplierEventPGRGRU_seed42,42,6,25,test,0.3446077704429626,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5562461614608765,0.513900637626648,0.6417497396469116,0.0591993182897567,0.9850742816925048,0.0,0,0,0
3200,3455,734192.38223919,734192.383438183,0.3590449914336204,MultiplierEventPGRGRU_seed42,42,6,26,test,0.359044998884201,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5671038627624512,0.5190504193305969,0.6942437291145325,0.0598175264894962,0.9783924221992492,0.0,0,0,0
3328,3583,734192.382840544,734192.384039086,0.3734666649252176,MultiplierEventPGRGRU_seed42,42,6,27,test,0.3734666705131531,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5746301412582397,0.5227664113044739,0.7298598885536194,0.0602593719959259,0.9736053347587584,0.0,0,0,0
3456,3711,734192.383442095,734192.38464066,0.3879044400528073,MultiplierEventPGRGRU_seed42,42,6,28,test,0.3879044353961944,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5807335376739502,0.526108980178833,0.7554101943969727,0.0605273880064487,0.9700663089752196,0.0,0,0,0
3584,3839,734192.384043715,734192.385242153,0.4023402705788612,MultiplierEventPGRGRU_seed42,42,6,29,test,0.4023402631282806,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5855169892311096,0.5287394523620605,0.7745658755302429,0.0607405342161655,0.9673186540603638,0.0,0,0,0
3712,3967,734192.384645289,734192.385848044,0.4168816544115543,MultiplierEventPGRGRU_seed42,42,6,30,test,0.416881650686264,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.5579071640968323,0.5199918150901794,0.6966509819030762,0.0601210482418537,0.9758468866348268,0.0,0,0,0
3840,4095,734192.385246782,734192.386451481,0.4313641441985965,MultiplierEventPGRGRU_seed42,42,6,31,test,0.4313641488552093,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.4392561018466949,0.4827561974525451,0.3430393934249878,0.0587730444967746,1.0101470947265625,0.0,0,0,0
3968,4223,734192.385852674,734192.387056134,0.4458758141845464,MultiplierEventPGRGRU_seed42,42,6,32,test,0.4458758234977722,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.3290618658065796,0.4283424913883209,0.1125259771943092,0.0509200543165206,1.0497387647628784,0.0,0,0,0
4096,4351,734192.386457662,734192.387659607,0.4603591673076153,MultiplierEventPGRGRU_seed42,42,6,33,test,0.4603591561317444,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2808793485164642,0.4309898018836975,0.0479069128632545,0.0506668053567409,1.0711791515350342,0.0,0,0,0
4224,4479,734192.387060752,734192.388264236,0.4748702645301819,MultiplierEventPGRGRU_seed42,42,6,34,test,0.4748702645301819,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2471348196268081,0.4202487468719482,0.0249919649213552,0.048029638826847,1.0879786014556885,0.0,0,0,0
4352,4607,734192.38766581,734192.388869155,0.4893883187323808,MultiplierEventPGRGRU_seed42,42,6,35,test,0.4893883168697357,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2247703224420547,0.4135510325431824,0.0157745704054832,0.0462242662906646,1.0989985466003418,0.0,0,0,0
4480,4735,734192.388268889,734192.389473009,0.5038808165118098,MultiplierEventPGRGRU_seed42,42,6,36,test,0.5038807988166809,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2099492996931076,0.4102491736412048,0.011811033822596,0.045024000108242,1.105708122253418,0.0,0,0,0
4608,4863,734192.388873113,734192.390077338,0.5183847108855844,MultiplierEventPGRGRU_seed42,42,6,37,test,0.5183846950531006,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,1.0,0.0,0.0,0.1987867057323455,0.4098010957241058,0.0092568723484873,0.0441486500203609,1.1108155250549316,0.0,0,0,0
4736,4991,734192.389478634,734192.390682164,0.5329005355015397,MultiplierEventPGRGRU_seed42,42,6,38,test,0.5329005122184753,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,1.0,0.0,0.0,0.1899625360965728,0.4100785255432129,0.0079689314588904,0.0434803999960422,1.1143572330474854,0.0,0,0,0
4864,5119,734192.390083565,734192.391287569,0.5474302545189857,MultiplierEventPGRGRU_seed42,42,6,39,test,0.5474302768707275,0.8087837100028992,0.7643346786499023,0.191216304898262,0.2356652915477752,0.0,0.0663216710090637,0.0,1.0,0.0,0.0,0.1791869401931762,0.4131363928318023,0.0079333130270242,0.0426307432353496,1.1156446933746338,0.0,0,0,0
4992,5247,734192.390687778,734192.391891771,0.5619311034679413,MultiplierEventPGRGRU_seed42,42,6,40,test,0.5619311332702637,0.7895607948303223,0.6981421113014221,0.2104392051696777,0.3018578886985779,0.0192229077219963,0.0661926046013832,1.325640082359314,1.0,0.0,0.0,0.2436437606811523,0.3880469799041748,0.0260554105043411,0.0462758317589759,1.111125111579895,0.0,0,0,0
5120,5375,734192.391291539,734192.392494768,0.5764030320569873,MultiplierEventPGRGRU_seed42,42,6,41,test,0.576403021812439,0.7337900996208191,0.6330249309539795,0.2662098705768585,0.3669750690460205,0.0557706765830516,0.0651171877980232,3.853714227676392,1.0,0.0,0.0,0.2668933272361755,0.3658211827278137,0.1239327862858772,0.0402457602322101,1.093521237373352,0.0,0,0,0
5248,5503,734192.391896377,734192.393097465,0.5908677605912089,MultiplierEventPGRGRU_seed42,42,6,42,test,0.5908677577972412,0.6767720580101013,0.5726296901702881,0.3232279419898987,0.4273703098297119,0.0570180490612983,0.0603952147066593,3.9418678283691406,1.0,0.0,0.0,0.4238740503787994,0.4168466031551361,0.772589921951294,0.0459405146539211,1.0178755521774292,0.0,0,0,0
5376,5631,734192.392499363,734192.393697431,0.6052669426426291,MultiplierEventPGRGRU_seed42,42,6,43,test,0.6052669286727905,0.6192471981048584,0.5180431604385376,0.3807528018951416,0.4819568693637848,0.0575248636305332,0.0545865595340728,3.995008945465088,1.0,0.0,0.0,0.4194020926952362,0.5514582395553589,0.9566761255264282,0.0584578551352024,0.9336445331573486,0.0,0,1,0
5504,5759,734192.393103067,734192.394298993,0.619704432785511,MultiplierEventPGRGRU_seed42,42,6,44,test,0.6197044253349304,0.561851978302002,0.4666717052459717,0.4381480515003204,0.5333282947540283,0.0573952496051788,0.0513714514672756,3.975431442260742,0.0,1.0,1.0,0.4855464994907379,0.5980423092842102,0.9869902729988098,0.0695327296853065,0.898816704750061,0.0,0,1,1
5632,5887,734192.393702049,734192.39489956,0.6341180400922894,MultiplierEventPGRGRU_seed42,42,6,45,test,0.6341180205345154,0.5050475597381592,0.4171841144561767,0.4949524402618408,0.5828158855438232,0.0568043813109397,0.0494875945150852,3.9410247802734375,0.0,1.0,1.0,0.4993405640125274,0.5995262861251831,0.9925690293312072,0.0686742886900901,0.888354480266571,0.0,0,1,1
5760,6015,734192.394302986,734192.395500556,0.6485419431701303,MultiplierEventPGRGRU_seed42,42,6,46,test,0.6485419273376465,0.4486110210418701,0.3679606914520263,0.5513889789581299,0.6320393085479736,0.0564365424215793,0.0492233708500862,3.912709474563599,0.0,1.0,1.0,0.5016888380050659,0.6056419610977173,0.9942132830619812,0.0691980049014091,0.8828763961791992,0.0,0,1,1
5888,6143,734192.394904178,734192.396102049,0.6629777764901519,MultiplierEventPGRGRU_seed42,42,6,47,test,0.6629777550697327,0.3924062848091125,0.3188754320144653,0.6075937151908875,0.6811245679855347,0.0562047362327575,0.0490853264927864,3.893418312072754,0.0,1.0,1.0,0.5022119879722595,0.6093001365661621,0.9949854612350464,0.0692691653966903,0.8800711035728455,0.0,0,1,1
6016,6271,734192.395506736,734192.396703322,0.6774083264172077,MultiplierEventPGRGRU_seed42,42,6,48,test,0.6774083375930786,0.3364567458629608,0.2700362205505371,0.6635432839393616,0.7299637794494629,0.0559495501220226,0.0488391257822513,3.87716007232666,0.0,1.0,1.0,0.5001781582832336,0.6035294532775879,0.995367169380188,0.0662861466407775,0.8803704977035522,0.0,0,1,1
6144,6399,734192.396106667,734192.397304988,0.691848311573267,MultiplierEventPGRGRU_seed42,42,6,49,test,0.6918483376502991,0.2806954681873321,0.2214137315750122,0.7193045020103455,0.7785862684249878,0.0557612627744674,0.0486225821077823,3.8615872859954834,0.0,1.0,1.0,0.5000949501991272,0.6131606698036194,0.9957439303398132,0.0684700384736061,0.8774805665016174,0.0,0,1,1
6272,6527,734192.396707951,734192.397907419,0.7063066558912396,MultiplierEventPGRGRU_seed42,42,6,50,test,0.7063066363334656,0.2252253293991089,0.1732579469680786,0.7747746706008911,0.8267420530319214,0.0554701536893844,0.0481557287275791,3.8365495204925537,0.0,1.0,1.0,0.4955615997314453,0.6153087019920349,0.995935320854187,0.0681660398840904,0.8766825199127197,0.0,0,1,1
6400,6655,734192.397309572,734192.39850713,0.7206997191533446,MultiplierEventPGRGRU_seed42,42,6,51,test,0.7206997275352478,0.1789658814668655,0.14771568775177,0.8210341334342957,0.85228431224823,0.0462594479322433,0.0255423169583082,3.214010000228882,0.0,1.0,1.0,0.4928210079669952,0.6170963644981384,0.9960361123085022,0.068191610276699,0.8761205673217773,0.0,0,1,1
6528,6783,734192.397910972,734192.399107407,0.735106366686523,MultiplierEventPGRGRU_seed42,42,6,52,test,0.735106348991394,0.1397212296724319,0.1247639656066894,0.8602787852287292,0.8752360343933105,0.0392446406185627,0.022951690480113,2.724064588546753,0.0,1.0,1.0,0.4534981250762939,0.6262561082839966,0.9956633448600768,0.0681207254528999,0.8754472136497498,0.0,1,1,1
6656,6911,734192.398511771,734192.39970875,0.7495385985821486,MultiplierEventPGRGRU_seed42,42,6,53,test,0.7495386004447937,0.1154389977455139,0.1247639656066894,0.8845610022544861,0.8752360343933105,0.0242822412401437,0.0,1.6825008392333984,0.0,1.0,1.0,0.4526765048503876,0.6319383978843689,0.9954739212989808,0.0710634663701057,0.8744685053825378,0.0,1,1,1
6784,7039,734192.399112026,734192.400305752,0.7638666462153196,MultiplierEventPGRGRU_seed42,42,6,54,test,0.763866662979126,0.1008944362401962,0.1247639656066894,0.8991055488586426,0.8752360343933105,0.0145445549860596,0.0,1.015110731124878,0.0,1.0,1.0,0.417944848537445,0.6357035636901855,0.9943147301673888,0.0701086893677711,0.8762849569320679,0.0,1,1,1
6912,7167,734192.399712604,734192.400902303,0.7781838728114963,MultiplierEventPGRGRU_seed42,42,6,55,test,0.7781838774681091,0.0927412956953048,0.1247639656066894,0.907258689403534,0.8752360343933105,0.0081531452015042,0.0,0.5694640278816223,0.0,1.0,1.0,0.4450433552265167,0.6214208006858826,0.9943994879722596,0.0675742104649543,0.8801355361938477,0.0,1,1,1
7040,7295,734192.400310394,734192.401500775,0.7925471998751163,MultiplierEventPGRGRU_seed42,42,6,56,test,0.7925472259521484,0.0887641906738281,0.1247639656066894,0.911235809326172,0.8752360343933105,0.003977105487138,0.0,0.2768930792808532,0.0,1.0,1.0,0.4516146183013916,0.6246696710586548,0.9941217303276062,0.0701103955507278,0.8796728253364563,0.0,1,1,1
7168,7423,734192.400908044,734192.402097454,0.8068674942478538,MultiplierEventPGRGRU_seed42,42,6,57,test,0.8068674802780151,0.0875376835465431,0.1247639656066894,0.9124622941017152,0.8752360343933105,0.001226506778039,0.0,0.0856481492519378,0.0,1.0,1.0,0.488052487373352,0.6148098111152649,0.9946133494377136,0.0702374503016471,0.8814852833747864,0.0,1,1,1
7296,7551,734192.401505394,734192.402694884,0.8212058153003454,MultiplierEventPGRGRU_seed42,42,6,58,test,0.8212057948112488,0.0875376835465431,0.1247639656066894,0.9124622941017152,0.8752360343933105,0.0,0.0,0.0,0.0,1.0,1.0,0.4891921281814575,0.6150786280632019,0.9944814443588256,0.0699647814035415,0.8821806907653809,0.0,1,1,1
7424,7679,734192.402102072,734192.403291898,0.8355341507121921,MultiplierEventPGRGRU_seed42,42,6,59,test,0.8355341553688049,0.0875376835465431,0.1247639656066894,0.9124622941017152,0.8752360343933105,0.0,0.0,0.0,0.0,1.0,1.0,0.4897085130214691,0.6153205037117004,0.9943389296531676,0.0698503106832504,0.8827689290046692,0.0,1,1,1
7552,7807,734192.402699525,734192.403886134,0.8497958164662123,MultiplierEventPGRGRU_seed42,42,6,60,test,0.8497958183288574,0.0875376835465431,0.1247639656066894,0.9124622941017152,0.8752360343933105,0.0,0.0,0.0,0.0,1.0,1.0,0.4896311163902282,0.6156961917877197,0.9942031502723694,0.0698959156870842,0.8831415772438049,0.0,1,1,1
7680,7935,734192.403296516,734192.404484664,0.8641605349257588,MultiplierEventPGRGRU_seed42,42,6,61,test,0.8641605377197266,0.059072371572256,0.0680047273635864,0.9409276247024536,0.9319952726364136,0.0284653101116418,0.0567592233419418,1.9816128015518188,0.0,1.0,1.0,0.4826571345329284,0.6158414483070374,0.99435555934906,0.0687282234430313,0.8833007216453552,0.0,1,1,1
7808,8063,734192.403890787,734192.405083657,0.8785363677889109,MultiplierEventPGRGRU_seed42,42,6,62,test,0.8785363435745239,0.0383970402181148,0.0463548898696899,0.9616029858589172,0.95364511013031,0.020675329491496,0.0216497927904129,1.4382004737854004,0.0,1.0,1.0,0.5742285847663879,0.5938881039619446,0.99598628282547,0.067891925573349,0.8853662014007568,0.0,1,1,1
7936,8191,734192.404489294,734192.405681597,0.892886926420033,MultiplierEventPGRGRU_seed42,42,6,63,test,0.8928869366645813,0.0249580759555101,0.0463548898696899,0.975041925907135,0.95364511013031,0.0134389642626047,0.0,0.9364767670631408,0.0,1.0,1.0,0.5257586240768433,0.6153801083564758,0.9960671067237854,0.0684649422764778,0.8792327642440796,0.0,1,1,1
8064,8319,734192.405089236,734192.406279803,0.9072438720613718,MultiplierEventPGRGRU_seed42,42,6,64,test,0.9072438478469848,0.0162227507680654,0.0463548898696899,0.9837772250175476,0.95364511013031,0.0087353270500898,0.0,0.6084390878677368,0.0,1.0,1.0,0.4910639524459839,0.6238142848014832,0.995980143547058,0.06814556568861,0.8767029643058777,0.0,1,1,1
8192,8447,734192.405687245,734192.40687684,0.9215727606788278,MultiplierEventPGRGRU_seed42,42,6,65,test,0.921572744846344,0.0105447871610522,0.0463548898696899,0.989455223083496,0.95364511013031,0.0056779626756906,0.0,0.3962597846984863,0.0,1.0,1.0,0.418096661567688,0.6389870643615723,0.9945422410964966,0.0687150582671165,0.8763396143913269,0.0,1,1,1
8320,8575,734192.40628441,734192.407475799,0.9359477749094368,MultiplierEventPGRGRU_seed42,42,6,66,test,0.9359477758407592,0.0068541117943823,0.0463548898696899,0.9931458830833436,0.95364511013031,0.0036906755995005,0.0,0.256742388010025,0.0,1.0,1.0,0.4494464993476867,0.6267127394676208,0.9949967861175536,0.0688908472657203,0.8779684901237488,0.0,1,1,1
8448,8703,734192.40688147,734192.408074942,0.950327206403017,MultiplierEventPGRGRU_seed42,42,6,67,test,0.950327217578888,0.0044551729224622,0.0463548898696899,0.9955448508262634,0.95364511013031,0.0023989391047507,0.0,0.16683129966259,0.0,1.0,1.0,0.4750247299671173,0.6166700124740601,0.9953317046165466,0.0685730129480362,0.8798856139183044,0.0,1,1,1
8576,8831,734192.407480382,734192.655995231,6.900414143688977,MultiplierEventPGRGRU_seed42,42,6,68,test,6.900413990020752,0.0028958623297512,0.0463548898696899,0.9971041083335876,0.95364511013031,0.0015593104762956,0.0,0.0062372419051826,0.0,1.0,1.0,0.4239961504936218,0.61024409532547,0.994328796863556,0.071475937962532,0.8795114755630493,0.0,1,1,1
8704,8959,734192.40807956,734192.656589387,6.914673887193203,MultiplierEventPGRGRU_seed42,42,6,69,test,6.914673805236816,0.0018823104910552,0.0463548898696899,0.9981176853179932,0.95364511013031,0.001013551838696,0.0,0.0710778385400772,0.0,1.0,1.0,0.3029499053955078,0.5847650766372681,0.9844373464584352,0.0788232684135437,0.8934286236763,0.0,1,1,1
8832,9087,734192.655999861,734192.657184595,6.92895887978375,MultiplierEventPGRGRU_seed42,42,6,70,test,6.928958892822266,0.0012235017493367,0.0463548898696899,0.9987764954566956,0.95364511013031,0.0006588086835108,0.0,0.0461189374327659,0.0,1.0,1.0,0.308109700679779,0.5872517228126526,0.9836097955703736,0.0724353641271591,0.8974292278289795,0.0,1,1,1
8960,9215,734192.656594016,734192.657780208,6.943253592588008,MultiplierEventPGRGRU_seed42,42,6,71,test,6.943253517150879,0.0007952761952765,0.0463548898696899,0.999204695224762,0.95364511013031,0.0004282256413716,0.0,0.0299569237977266,0.0,1.0,1.0,0.3847858905792236,0.5924952626228333,0.9904769659042358,0.0651833713054657,0.8941255807876587,0.0,1,1,1
0,255,734248.457495926,734248.458684225,0.0,MultiplierEventPGRGRU_seed42,42,13,1,test,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2950930297374725,0.3958474695682525,0.0417953580617904,0.0533707626163959,1.0510309934616089,0.0,0,0,0
128,383,734248.458088738,734248.459282407,0.0143563672900199,MultiplierEventPGRGRU_seed42,42,13,2,test,0.0143563672900199,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3005693554878235,0.3799225986003876,0.0278356224298477,0.0459274053573608,1.0755125284194946,0.0,0,0,0
256,511,734248.458688854,734248.459880926,0.0287208231166005,MultiplierEventPGRGRU_seed42,42,13,3,test,0.0287208221852779,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3745598196983337,0.4170593321323395,0.0516902916133403,0.0466499030590057,1.0685653686523438,0.0,0,0,0
384,639,734248.459287026,734248.460478796,0.0430697053670883,MultiplierEventPGRGRU_seed42,42,13,4,test,0.0430697053670883,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514930844306946,0.447303295135498,0.0972708538174629,0.0498318001627922,1.0560002326965332,0.0,0,0,0
